Driver,Traditional Points,Alternative Points Alpha,Alternative Points Beta
Alexander Albon,27,84,104
Fernando Alonso,183,234,486
Valtteri Bottas,10,61,67
Nyck de Vries,0,11,11
Pierre Gasly,56,119,173
Lewis Hamilton,220,265,560
Nico Hülkenberg,9,42,48
Liam Lawson,2,20,21
Charles Leclerc,166,213,426
Kevin Magnussen,3,30,30
Lando Norris,169,217,444
Esteban Ocon,45,92,135
Sergio Pérez,240,282,605
Oscar Piastri,87,137,234
Daniel Ricciardo,6,13,19
George Russell,151,190,374
Carlos Sainz,183,228,451
Logan Sargeant,1,23,23
Lance Stroll,53,102,155
Yuki Tsunoda,8,60,63
Max Verstappen,491,499,1131
Guanyu Zhou,6,49,52
